INPUT:id	INPUT:text	GOLDEN:source
0	Российская сборная лидирует по итогам командного зачета первого дня соревнований XII Чемпионата мира по пожарно-спасательному спорту, проходящему в чешском городе Острава.<br><br>http://www.mchs.gov.ru/dop/info/smi/news/item/32856338/	mchsgov
1	#СоветМЧС #МЧС #МЧСРОССИИ	mchsgov
2	Инспекторы ГИБДД Москвы приняли участие во Всероссийской акции «8 Марта - В каждый Дом»<br><br>https://youtu.be/n_hT5skwhZ8<br><br>#мвдроссии #петровка38 #8марта #праздник #акции #8мартавкаждыйдом #полиция #цветочныйпатруль #вамлюбимые #россия #новости	mospolice
3	В Главную Военно-Морскую Базу БФ в г.Балтийск прибыл экипаж учебного корабля «Перекоп» со 180 курсантами Военно-морского политехнического института Военного учебно-научного центра ВМФ <br> <br>Во время похода, стартовавшего 25 сентября в Кронштадте, курсанты провели тренировки по несению штурманской вахты, определению места положения корабля с помощью радионавигационных приборов. <br> <br>Ранее, 20 сентября, впервые в современной истории ВМФ и Санкт-Петербурга, экипаж учебного корабля «Перекоп» ошвартовался на исторической набережной лейтенанта Шмидта, в непосредственной близости от здания Морского корпуса.	mil
4	Обвиняемые в хищении денежных средств у 32 пожилых граждан предстанут перед судом <br><br>Следствием столичной полиции окончено производством и направлено в суд уголовное дело по обвинению троих участников группы в хищении денежных средств у пенсионеров посредством телефонного мошенничества. <br> <br>Подробности: https://77.мвд.рф/news/window/8790324/<br><br>#МВД #Петровка38 #полиция #новости #пенсионеры	mospolice
5	Начальник Генерального штаба Вооруженных Сил РФ генерал армии Валерий Герасимов и командующий Сухопутными войсками Пакистана генерал Камал Баджва обсудили в Москве вопросы региональной безопасности и договорились о развитии контактов в оборонной области. <br> <br>Состоялся заинтересованный обмен мнениями по вопросам региональной безопасности, состоянию и перспективам двустороннего взаимодействия в военной и военно-технических областях. Подтвержден настрой на углубление диалога и развитие контактов в оборонной сфере. <br> <br>Генерал армии Валерий Герасимов пригласил пакистанских представителей принять участие в Армейских международных играх - 2018 (28 июля - 11 августа) и Международном военно-техническом форуме «Армия-2018» (21-26 августа). <br> <br>#Минобороны #Герасимов #Пакистан #МеждународноеСотрудничество	mil
6	Франкирование – это форма предварительной уплаты почтового тарифа на пересылку. Франкировальные машины созданы для того, чтобы быстро обслуживать клиентов с очень крупными партиями отправлений. Машины не клеят марок – вместо этого на конверт ставят специальный оттиск, подтверждающий факт оплаты. <br><br>Сегодня большая часть франкировальных машин находится не в почтовых отделениях, а непосредственно у клиентов. Почта России постоянно обновляет парк франкировального оборудования. Машины нового поколения управляются централизованно, что позволяет отслеживать в режиме онлайн количество оплаченных и отфранкированных писем.<br><br>#ПочтаРоссии #услугипочты	russianpost
7	Расчеты береговых противокорабельных комплексов «Бал» на позиции в ходе учения с ракетно-артиллерийским соединением Черноморского флота <br> <br>#МинобороныРоссии #ЧФ #БРК	mil
8	Артиллеристы ствольной и реактивной артиллерии ЮВО провели в горах Дагестана боевые стрельбы по условным террористам <br> <br>На общевойсковом полигоне Дальний артиллеристы мотострелкового соединения 58-й общевойсковой армии ЮВО выполнили боевые стрельбы по группам условных вооруженных формирований, засевших в горной части республики. <br> <br>В стрельбах приняли участие более 200 военнослужащих и было задействовано около 50 единиц вооружения и военной техники. <br> <br>#Минобороны #ЮВО #Артиллерия	mil
9	На оперативно-специальном сборе с представителями Сухопутных войск в Алабине бойцы снайперских подразделений продемонстрировали способы ведения общевойскового боя с использованием современных и перспективных технических средств разведки <br> <br>#Минобороны #СухопутныеВойска #Снайперы	mil
10	#МаленькаяСпасеннаяЖизнь #МЧС #МЧСРОССИИ<br><br>Не остались в стороне пожарные п. Балаганск Иркутской области, помогли собаке Грете избавиться от металлического карабина, впившегося в пасть. <br><br>В безвыходной ситуации сторожевая дворняга оказалась, когда пыталась освободиться из запутавшейся цепи. Одно из звеньев зацепилось за клыки, а после и вовсе проткнуло нежную слизистую, намертво обхватив собачью челюсть. <br><br>«Нельзя оставаться равнодушным к чужой боли, а такие верные компаньоны, как собаки, несомненно, заслуживают человеческого отношения и сострадания», - подчеркнули сотрудники МЧС России.	mchsgov
11	ВНИМАНИЕ! МАКСИМАЛЬНЫЙ РЕПОСТ!<br><br>Розыск подозреваемого в совершении преступления Константина Гурченко <br><br>Сотрудники уголовного розыска УВД по ВАО ГУ МВД России по г. Москве обращаются к гражданам, которые могут обладать какой-либо информацией о Константине Гурченко, 1982 года рождения. <br> <br>Данный гражданин является подозреваемым в совершении преступления, предусмотренного ст. 317 УК РФ «Посягательство на жизнь сотрудника правоохранительного органа». <br> <br>В настоящий момент Константин Гурченко числится в федеральном розыске. <br> <br>Полицейские УВД по ВАО ГУ МВД России по г. Москве просят всех, кому что-либо известно о местонахождении данного гражданина, сообщить по тел. 8 (495) 965-14-01, 8 (495) 965-22-48 или в службу «102» (с мобильных телефонов «112»).<br><br>#МВДРоссии #Петровка38 #полиция #внимание #розыск	mospolice
12	#ГероиМЧС #МЧС #МЧСРОССИИ<br><br>Житель Симферополя спас на пожаре пожилую женщину и ребенка <br> <br>Александр Борисов, проявив истинное мужество, ликвидировал загорание в одной из квартир многоэтажного дома в п. Кировское до прибытия пожарно-спасательного автомобиля. <br> <br>«Возгорание произошло в квартире на первом этаже, - рассказывает Александр Борисов. - Когда я вышел из магазина, то услышал, как кричит маленький ребенок и увидел пожилую женщину, которая кричала из окна, просила вызвать пожарных. Вовремя заметил, что горит кухонный шкафчик над газовой плитой в непосредственной близости от газовой трубы. Не задумываясь, я схватил из машины огнетушитель, залез в окно и потушил огонь».	mchsgov
13	Знаете ли вы, что у The Beatles есть песня про почтальона?<br><br>Хотя, конечно, несмотря на название, песня то эта про любовь, как и почти все остальные песни ливерпульской четверки. Если перевести текст на русский - получится примерно так:<br><br>Подождите, о да, подождите минутку, мистер почтальон! <br>Подождите, подождите, мистер почтальон! <br><br>Мистер почтальон, посмотрите получше, <br>У Вас в сумке для меня есть письмо. <br>Я его так долго жду, <br>Я жду послание от моей девочки. <br><br>Сегодня точно должно быть хоть слово для меня <br>От моей девушки, которая так далеко. <br>Мистер почтальон, посмотрите получше, <br>Если это письмо, письмо для меня, <br>Я буду стоять тут и ждать, мистер почтальон, <br>Очень терпеливо. <br>Буду ждать либо открытку, либо письмо <br>Со словами, что она возвращается домой, ко мне. <br><br>Так много дней Вы проходите мимо меня, <br>Видите слезы в моих глазах, <br>Вы не останавливаетесь, чтобы мне немного полегчало, <br>Не оставляете для меня открытку или письмо. <br><br>Подождите минутку, подождите минутку...<br> <br>#интересно@russianpost	russianpost
14	Женщины в московской полиции<br><br>Смирнова Елена - подполковник внутренней службы, служит в Отделе делопроизводства и режима УВД по ЮВАО начальником подразделения. В органах внутренних дел 14 лет. Специалист 3 класса. <br> <br>Занимается спортом, зимой катается на лыжах. Также увлекается лепкой из глины. <br> <br>Награждена ведомственными наградами, среди которых медаль «За отличие в службе» 3 степени. <br><br>#police #mvdrussia #МВД #мвдроссии #полиция #полицияроссии #мвд77 #петровка38 #8МартаВкаждыйДом #8марта #Женщинывполиции	mospolice
15	В Новой Москве выявлен притон для занятия проституцией<br><br>Сотрудники московского уголовного розыска выявили притон для занятия проституцией в поселении Сосенское Новой Москвы. Он находился в частном доме в одном из садовых некоммерческих товариществ под видом массажного салона.<br><br>https://youtu.be/dJ7jCQDIla4<br><br> #МВД   #Петровка38   #полиция   #тинао   #притон	mospolice
16	В России проходит всемирная экологическая акция #ЧасЗемли. В этом году Почта России присоединилась к акции. С 20:30-21:30 по местному времени во всех часовых поясах нашей страны отключается архитектурная подсветка почтамтов  и отделений крупнейших городов. На фото головной офис Почты России, расположенный на Варшавском шоссе в Москве. Прямо сейчас в столице участники акции гасят освещение! Присоединяйтесь! <br>#ПочтаРоссии #WWF	russianpost
17	#МЧС #МЧСРОССИИ<br><br>В рамках Года пожарной охраны и в преддверии Дня спасателя на катке ВДНХ прошла «Пожарная эстафета» на коньках.<br><br>http://www.mchs.gov.ru/dop/info/smi/news/item/33030707/	mchsgov
18	Для ВМФ будут заложены малое гидрографическое судно проекта 19910 и большой гидрографический катер проекта 19920 <br> <br>Судно проекта 19910 будет оснащено самым современным оборудованием для гидрографических исследований морских районов и предназначено для обслуживания средств навигационного оборудования, доставки грузов на необорудованное побережье, выполнение исследований с помощью многолучевого эхолота. Судно будет иметь усиленный ледовый класс, а также сможет выполнять задачи не только в условиях глубокого моря, но и на мелководье. <br> <br>Большие гидрографические катера проекта 19920 обладают широкими возможностями гидрографических исследований морского дна, воды и обслуживания береговых объектов системы навигационно-гидрографического обеспечения деятельности ВМФ. <br> <br>#ВМФ #ГидрографическаяСлужба	mil
19	#МЧС #МЧСРОССИИ<br><br>Салютин Виктор Афанасьевич – генерал-майор внутренней службы, посвятивший 40 лет жизни пожарной охране страны. Один из выдающихся мастеров пожарно-прикладного спорта, многократный чемпион СССР, победитель ряда международных соревнований по пожарно-прикладному спорту.	mchsgov
20	Желаем вам хороших и законопослушных выходных! <br> <br>Фото: 1-й оперативный полк полиции ГУ МВД России по г. Москве <br> <br>#police #mvdrussia #МВД #мвдроссии #полиция #полицияроссии #мвд77#петровка38 #выходные #безопаность	mospolice
21	На востоке Москвы выявлен подпольный цех по пошиву одежды под марками известных брендов<br><br>В ходе отработки территории оперативники отдела экономической безопасности и противодействия коррупции УВД по ВАО и участковые уполномоченные полиции ОМВД России по району Соколиная гора выявили факт организации незаконной миграции.<br><br>Стражи порядка установили, что на территории промзоны на Вольной улице организован подпольный швейный цех. В двух подвальных помещениях обнаружены спальные места, импровизированная кухня и рабочие места со швейными машинками и эскизами спортивной одежды. <br><br>28 наемных работников, приезжих из государства Юго-Восточной Азии, задержаны и доставлены в районное отделение полиции. Установлено, что в России они находятся незаконно. <br><br>В отношении правонарушителей составлены административные протоколы по ст. 18.8 КоАП РФ «Нарушение иностранным гражданином или лицом без гражданства правил въезда в Российскую Федерацию либо режима пребывания (проживания) в Российской Федерации».<br><br>По данному факту возбуждено уголовное дело по признакам преступления, предусмотренного ст. 322.1 Уголовного кодекса Российской Федерации «Организация незаконной миграции». <br><br>В настоящее время сотрудники полиции проводят оперативно-разыскные мероприятия по установлению личности и местонахождения организатора незаконного бизнеса. <br><br>#МВД #Петровка38 #Москва #полиция #новости #миграция #вао #цех	mospolice
22	Заместитель полномочного представителя Президента России в ЦФО наградил московских стражей порядка<br><br>В Главном управлении МВД России по городу Москве прошло награждение сотрудников московской полиции.<br><br>Подробнее: https://petrovka38.ru/news/item/7918530<br><br>#Петровка38 #Новости #Награждение #Цфо #ПредставительПрезидента	mospolice
23	Тренировка по отражению нападения условных диверсантов на дивизион ПВО ЗВО<br><br>#Минобороны #ЗВО #ПВО	mil
